  LOG10(FN)  FN  Calculated  arg(Hphase) H11, H12 ... H21, H22 ... [deg]
   1.4632584          29.057510         -19.894508         -19.890377    
   1.4695594          29.482169         -20.178153         -20.174332    
   1.4758605          29.913034         -20.465838         -20.462325    
   1.4821615          30.350196         -20.757618         -20.754413    
   1.4884625          30.793746         -21.053552         -21.050653    
   1.4947636          31.243779         -21.353698         -21.351102    
   1.5010646          31.700388         -21.658117         -21.655819    
   1.5073656          32.163671         -21.966868         -21.964864    
   1.5136666          32.633725         -22.280014         -22.278295    
   1.5199677          33.110647         -22.597615         -22.596175    
   1.5262687          33.594540         -22.919735         -22.918566    
   1.5325697          34.085505         -23.246439         -23.245529    
   1.5388708          34.583645         -23.577790         -23.577129    
   1.5451718          35.089065         -23.913854         -23.913431    
   1.5514728          35.601871         -24.254699         -24.254500    
   1.5577739          36.122172         -24.600391         -24.600403    
   1.5640749          36.650076         -24.950999         -24.951207    
   1.5703759          37.185696         -25.306592         -25.306981    
   1.5766769          37.729143         -25.667242         -25.667794    
   1.5829780          38.280533         -26.033019         -26.033718    
   1.5892790          38.839980         -26.403995         -26.404823    
   1.5955800          39.407604         -26.780245         -26.781183    
   1.6018811          39.983523         -27.161842         -27.162872    
   1.6081821          40.567859         -27.548862         -27.549964    
   1.6144831          41.160735         -27.941382         -27.942536    
   1.6207842          41.762275         -28.339478         -28.340665    
   1.6270852          42.372607         -28.743231         -28.744429    
   1.6333862          42.991858         -29.152719         -29.153909    
   1.6396872          43.620159         -29.568024         -29.569184    
   1.6459883          44.257642         -29.989227         -29.990337    
   1.6522893          44.904442         -30.416412         -30.417451    
   1.6585903          45.560694         -30.849663         -30.850611    
   1.6648914          46.226537         -31.289066         -31.289903    
   1.6711924          46.902111         -31.734707         -31.735414    
   1.6774934          47.587558         -32.186674         -32.187232    
   1.6837945          48.283023         -32.645057         -32.645446    
   1.6900955          48.988651         -33.109946         -33.110149    
   1.6963965          49.704592         -33.581432         -33.581433    
   1.7026975          50.430996         -34.059609         -34.059391    
   1.7089986          51.168015         -34.544570         -34.544118    
   1.7152996          51.915806         -35.036412         -35.035712    
   1.7216006          52.674526         -35.535232         -35.534271    
   1.7279017          53.444333         -36.041127         -36.039894    
   1.7342027          54.225391         -36.554197         -36.552682    
   1.7405037          55.017864         -37.074544         -37.072737    
   1.7468048          55.821918         -37.602271         -37.600164    
   1.7531058          56.637723         -38.137480         -38.135069    
   1.7594068          57.465450         -38.680278         -38.677557    
   1.7657078          58.305274         -39.230771         -39.227739    
   1.7720089          59.157372         -39.789068         -39.785723    
   1.7783099          60.021923         -40.355279         -40.351622    
   1.7846109          60.899108         -40.929515         -40.925549    
   1.7909120          61.789113         -41.511890         -41.507619    
   1.7972130          62.692125         -42.102517         -42.097949    
   1.8035140          63.608334         -42.701515         -42.696656    
   1.8098151          64.537933         -43.309000         -43.303862    
   1.8161161          65.481118         -43.925093         -43.919686    
   1.8224171          66.438086         -44.549914         -44.544253    
   1.8287181          67.409040         -45.183586         -45.177687    
   1.8350192          68.394184         -45.826236         -45.820115    
   1.8413202          69.393725         -46.477988         -46.471666    
   1.8476212          70.407874         -47.138973         -47.132469    
   1.8539223          71.436845         -47.809319         -47.802657    
   1.8602233          72.480853         -48.489160         -48.482363    
   1.8665243          73.540118         -49.178629         -49.171723    
   1.8728254          74.614864         -49.877862         -49.870875    
   1.8791264          75.705317         -50.586997         -50.579957    
   1.8854274          76.811706         -51.306174         -51.299111    
   1.8917284          77.934265         -52.035535         -52.028480    
   1.8980295          79.073229         -52.775224         -52.768208    
   1.9043305          80.228838         -53.525387         -53.518443    
   1.9106315          81.401336         -54.286172         -54.279334    
   1.9169326          82.590969         -55.057730         -55.051031    
   1.9232336          83.797988         -55.840212         -55.833687    
   1.9295346          85.022647         -56.633773         -56.627458    
   1.9358357          86.265204         -57.438570         -57.432500    
   1.9421367          87.525920         -58.254763         -58.248973    
   1.9484377          88.805060         -59.082513         -59.077037    
   1.9547387          90.102895         -59.921983         -59.916857    
   1.9610398          91.419696         -60.773339         -60.768597    
   1.9673408          92.755742         -61.636751         -61.632426    
   1.9736418          94.111313         -62.512389         -62.508514    
   1.9799429          95.486695         -63.400426         -63.397033    
   1.9862439          96.882178         -64.301039         -64.298158    
   1.9925449          98.298055         -65.214405         -65.212067    
   1.9988460          99.734624         -66.140707         -66.138937    
   2.0051470          101.19219         -67.080127         -67.078953    
   2.0114480          102.67105         -68.032853         -68.032298    
   2.0177490          104.17153         -68.999072         -68.999159    
   2.0240501          105.69394         -69.978978         -69.979725    
   2.0303511          107.23859         -70.972763         -70.974190    
   2.0366521          108.80582         -71.980627         -71.982748    
   2.0429532          110.39596         -73.002769         -73.005597    
   2.0492542          112.00933         -74.039391         -74.042937    
   2.0555552          113.64628         -75.090701         -75.094971    
   2.0618563          115.30715         -76.156908         -76.161906    
   2.0681573          116.99230         -77.238222         -77.243950    
   2.0744583          118.70208         -78.334860         -78.341316    
   2.0807593          120.43684         -79.447039         -79.454219    
   2.0870604          122.19695         -80.574981         -80.582877    
   2.0933614          123.98279         -81.718911         -81.727510    
   2.0996624          125.79473         -82.879055         -82.888345    
   2.1059635          127.63314         -84.055646         -84.065608    
   2.1122645          129.49843         -85.248917         -85.259530    
   2.1185655          131.39097         -86.459107         -86.470347    
   2.1248666          133.31117         -87.686456         -87.698296    
   2.1311676          135.25944         -88.931208         -88.943619    
   2.1374686          137.23618         -90.193613         -90.206560    
   2.1437696          139.24180         -91.473921         -91.487369    
   2.1500707          141.27674         -92.772387         -92.786298    
   2.1563717          143.34142         -94.089272         -94.103603    
   2.1626727          145.43627         -95.424836         -95.439543    
   2.1689738          147.56174         -96.779347         -96.794384    
   2.1752748          149.71827         -98.153074         -98.168392    
   2.1815758          151.90631         -99.546291         -99.561840    
   2.1878769          154.12634         -100.95928         -100.97500    
   2.1941779          156.37880         -102.39231         -102.40816    
   2.2004789          158.66419         -103.84568         -103.86160    
   2.2067799          160.98297         -105.31968         -105.33561    
   2.2130810          163.33565         -106.81459         -106.83048    
   2.2193820          165.72270         -108.33073         -108.34651    
   2.2256830          168.14464         -109.86838         -109.88400    
   2.2319841          170.60198         -111.42786         -111.44326    
   2.2382851          173.09523         -113.00947         -113.02460    
   2.2445861          175.62491         -114.61354         -114.62833    
   2.2508872          178.19157         -116.24038         -116.25478    
   2.2571882          180.79574         -117.89032         -117.90426    
   2.2634892          183.43796         -119.56368         -119.57712    
   2.2697902          186.11880         -121.26080         -121.27369    
   2.2760913          188.83882         -122.98201         -122.99429    
   2.2823923          191.59859         -124.72767         -124.73929    
   2.2886933          194.39869         -126.49811         -126.50903    
   2.2949944          197.23971         -128.29369         -128.30387    
   2.3012954          200.12226         -130.11477         -130.12417    
   2.3075964          203.04693         -131.96171         -131.97028    
   2.3138975          206.01434         -133.83487         -133.84259    
   2.3201985          209.02512         -135.73464         -135.74147    
   2.3264995          212.07990         -137.66138         -137.66731    
   2.3328005          215.17933         -139.61549         -139.62048    
   2.3391016          218.32405         -141.59734         -141.60138    
   2.3454026          221.51473         -143.60734         -143.61042    
   2.3517036          224.75203         -145.64589         -145.64800    
   2.3580047          228.03666         -147.71338         -147.71452    
   2.3643057          231.36928         -149.81024         -149.81040    
   2.3706067          234.75061         -151.93687         -151.93607    
   2.3769078          238.18135         -154.09371         -154.09195    
   2.3832088          241.66223         -156.28117         -156.27847    
   2.3895098          245.19399         -158.49970         -158.49608    
   2.3958108          248.77735         -160.74973         -160.74522    
   2.4021119          252.41309         -163.03171         -163.02634    
   2.4084129          256.10196         -165.34610         -165.33990    
   2.4147139          259.84474         -167.69335         -167.68637    
   2.4210150          263.64222         -170.07393         -170.06622    
   2.4273160          267.49520         -172.48831         -172.47991    
   2.4336170          271.40449         -174.93698         -174.92794    
   2.4399181          275.37091         -177.42041         -177.41080    
   2.4462191          279.39529         -179.93911         -179.92898    
   2.4525201          283.47849          177.50643          177.51701    
   2.4588211          287.62136          174.91571          174.92666    
   2.4651222          291.82478          172.28820          172.29947    
   2.4714232          296.08963          169.62340          169.63489    
   2.4777242          300.41681          166.92075          166.93241    
   2.4840253          304.80723          164.17975          164.19148    
   2.4903263          309.26181          161.39983          161.41155    
   2.4966273          313.78149          158.58044          158.59209    
   2.5029284          318.36723          155.72104          155.73252    
   2.5092294          323.01998          152.82105          152.83228    
   2.5155304          327.74073          149.87989          149.89079    
   2.5218314          332.53047          146.89699          146.90748    
   2.5281325          337.39021          143.87175          143.88175    
   2.5344335          342.32097          140.80357          140.81300    
   2.5407345          347.32379          137.69185          137.70062    
   2.5470356          352.39973          134.53597          134.54401    
   2.5533366          357.54984          131.33529          131.34254    
   2.5596376          362.77523          128.08920          128.09557    
   2.5659387          368.07698          124.79704          124.80247    
   2.5722397          373.45621          121.45816          121.46260    
   2.5785407          378.91405          118.07190          118.07528    
   2.5848417          384.45166          114.63759          114.63986    
   2.5911428          390.07020          111.15455          111.15567    
   2.5974438          395.77085          107.62209          107.62200    
   2.6037448          401.55481          104.03951          104.03818    
   2.6100459          407.42330          100.40609          100.40350    
   2.6163469          413.37756          96.721130          96.717248    
   2.6226479          419.41883          92.983885          92.978694    
   2.6289490          425.54839          89.193619          89.187107    
   2.6352500          431.76753          85.349581          85.341744    
   2.6415510          438.07756          81.451009          81.441850    
   2.6478520          444.47981          77.497131          77.486661    
   2.6541531          450.97563          73.487163          73.475400    
   2.6604541          457.56638          69.420312          69.407281    
   2.6667551          464.25344          65.295772          65.281505    
   2.6730562          471.03824          61.112725          61.097261    
   2.6793572          477.92219          56.870343          56.853730    
   2.6856582          484.90674          52.567786          52.550078    
   2.6919593          491.99337          48.204202          48.185458    
   2.6982603          499.18357          43.778725          43.759015    
   2.7045613          506.47885          39.290480          39.269876    
   2.7108623          513.88074          34.738577          34.717161    
   2.7171634          521.39081          30.122116          30.099972    
   2.7234644          529.01063          25.440181          25.417401    
   2.7297654          536.74182          20.691845          20.668526    
   2.7360665          544.58599          15.876169          15.852410    
   2.7423675          552.54480          10.992198          10.968105    
   2.7486685          560.61992          6.0389653          6.0146459    
   2.7549696          568.81305          1.0154898         0.99105557    
   2.7612706          577.12592         -4.0792231         -4.1036586    
   2.7675716          585.56028         -9.2461823         -9.2705035    
   2.7738726          594.11791         -14.486411         -14.510501    
   2.7801737          602.80059         -19.800946         -19.824689    
   2.7864747          611.61018         -25.190841         -25.214119    
   2.7927757          620.54850         -30.657161         -30.679859    
   2.7990768          629.61746         -36.200990         -36.222994    
   2.8053778          638.81895         -41.823425         -41.844622    
   2.8116788          648.15492         -47.525578         -47.545859    
   2.8179799          657.62733         -53.308579         -53.327839    
   2.8242809          667.23817         -59.173573         -59.191710    
   2.8305819          676.98947         -65.121719         -65.138639    
   2.8368829          686.88328         -71.154195         -71.169807    
   2.8431840          696.92168         -77.272196         -77.286415    
   2.8494850          707.10678         -83.476931         -83.489682    
   2.8557860          717.44074         -89.769629         -89.780842    
   2.8620871          727.92572         -96.151534         -96.161148    
   2.8683881          738.56393         -102.62391         -102.63187    
   2.8746891          749.35761         -109.18804         -109.19431    
   2.8809902          760.30904         -115.84521         -115.84976    
   2.8872912          771.42051         -122.59676         -122.59955    
   2.8935922          782.69437         -129.44400         -129.44503    
   2.8998932          794.13300         -136.38831         -136.38757    
   2.9061943          805.73879         -143.43104         -143.42855    
   2.9124953          817.51419         -150.57360         -150.56937    
   2.9187963          829.46169         -157.81739         -157.81146    
   2.9250974          841.58379         -165.16385         -165.15626    
   2.9313984          853.88305         -172.61443         -172.60523    
   2.9376994          866.36205          179.82939          179.84013    
   2.9440005          879.02343          172.16613          172.17833    
   2.9503015          891.86985          164.39426          164.40784    
   2.9566025          904.90401          156.51225          156.52710    
   2.9629035          918.12866          148.51854          148.53456    
   2.9692046          931.54657          140.41156          140.42862    
   2.9755056          945.16058          132.18969          132.20767    
   2.9818066          958.97356          123.85131          123.87008    
