   LOG10(FN) FN  Magnitudes: Lamda11, Lamda22 ...
   1.7720089          59.157372         0.59685403E-10
   1.7783099          60.021923         0.61395715E-10
   1.7846109          60.899108         0.63154950E-10
   1.7909120          61.789113         0.64964505E-10
   1.7972130          62.692125         0.66825815E-10
   1.8035140          63.608334         0.68740357E-10
   1.8098151          64.537933         0.70709650E-10
   1.8161161          65.481118         0.72735256E-10
   1.8224171          66.438086         0.74818782E-10
   1.8287181          67.409040         0.76961880E-10
   1.8350192          68.394184         0.79166251E-10
   1.8413202          69.393725         0.81433642E-10
   1.8476212          70.407874         0.83765851E-10
   1.8539223          71.436845         0.86164729E-10
   1.8602233          72.480853         0.88632176E-10
   1.8665243          73.540118         0.91170150E-10
   1.8728254          74.614864         0.93780663E-10
   1.8791264          75.705317         0.96465784E-10
   1.8854274          76.811706         0.99227643E-10
   1.8917284          77.934265         0.10206843E-09
   1.8980295          79.073229         0.10499039E-09
   1.9043305          80.228838         0.10799585E-09
   1.9106315          81.401336         0.11108719E-09
   1.9169326          82.590969         0.11426686E-09
   1.9232336          83.797988         0.11753738E-09
   1.9295346          85.022647         0.12090134E-09
   1.9358357          86.265204         0.12436141E-09
   1.9421367          87.525920         0.12792034E-09
   1.9484377          88.805060         0.13158094E-09
   1.9547387          90.102895         0.13534612E-09
   1.9610398          91.419696         0.13921886E-09
   1.9673408          92.755742         0.14320224E-09
   1.9736418          94.111313         0.14729941E-09
   1.9799429          95.486695         0.15151363E-09
   1.9862439          96.882178         0.15584823E-09
   1.9925449          98.298055         0.16030665E-09
   1.9988460          99.734624         0.16489244E-09
   2.0051470          101.19219         0.16960922E-09
   2.0114480          102.67105         0.17446074E-09
   2.0177490          104.17153         0.17945085E-09
   2.0240501          105.69394         0.18458352E-09
   2.0303511          107.23859         0.18986280E-09
   2.0366521          108.80582         0.19529289E-09
   2.0429532          110.39596         0.20087811E-09
   2.0492542          112.00933         0.20662288E-09
   2.0555552          113.64628         0.21253177E-09
   2.0618563          115.30715         0.21860946E-09
   2.0681573          116.99230         0.22486078E-09
   2.0744583          118.70208         0.23129070E-09
   2.0807593          120.43684         0.23790432E-09
   2.0870604          122.19695         0.24470689E-09
   2.0933614          123.98279         0.25170382E-09
   2.0996624          125.79473         0.25890066E-09
   2.1059635          127.63314         0.26630314E-09
   2.1122645          129.49843         0.27391712E-09
   2.1185655          131.39097         0.28174867E-09
