   LOG10(FN) FN  Arguments: Lamda11, Lamda22 ... [deg]
   3.8324457          6799.0100          174.12479    
   3.8387467          6898.3736          174.11919    
   3.8450477          6999.1893          174.11358    
   3.8513488          7101.4784          174.10793    
   3.8576498          7205.2624          174.10226    
   3.8639508          7310.5631          174.09656    
   3.8702519          7417.4028          174.09083    
   3.8765529          7525.8038          174.08508    
   3.8828539          7635.7890          174.07930    
   3.8891550          7747.3817          174.07350    
   3.8954560          7860.6051          174.06766    
   3.9017570          7975.4833          174.06180    
   3.9080580          8092.0404          174.05591    
   3.9143591          8210.3009          174.05000    
   3.9206601          8330.2896          174.04406    
   3.9269611          8452.0320          174.03809    
   3.9332622          8575.5535          174.03209    
   3.9395632          8700.8802          174.02607    
   3.9458642          8828.0386          174.02001    
   3.9521653          8957.0552          174.01393    
   3.9584663          9087.9574          174.00783    
   3.9647673          9220.7726          174.00169    
   3.9710683          9355.5288          173.99553    
   3.9773694          9492.2544          173.98933    
   3.9836704          9630.9782          173.98311    
   3.9899714          9771.7294          173.97687    
   3.9962725          9914.5375          173.97059    
   4.0025735          10059.433          173.96429    
   4.0088745          10206.446          173.95795    
   4.0151756          10355.607          173.95159    
   4.0214766          10506.948          173.94520    
   4.0277776          10660.501          173.93878    
   4.0340786          10816.298          173.93233    
   4.0403797          10974.372          173.92586    
   4.0466807          11134.756          173.91935    
   4.0529817          11297.484          173.91282    
   4.0592828          11462.590          173.90625    
   4.0655838          11630.109          173.89966    
   4.0718848          11800.076          173.89304    
   4.0781859          11972.528          173.88639    
   4.0844869          12147.499          173.87970    
   4.0907879          12325.028          173.87299    
   4.0970889          12505.151          173.86625    
   4.1033900          12687.907          173.85948    
   4.1096910          12873.333          173.85268    
   4.1159920          13061.469          173.84585    
   4.1222931          13252.355          173.83899    
   4.1285941          13446.030          173.83210    
   4.1348951          13642.536          173.82518    
   4.1411962          13841.914          173.81822    
   4.1474972          14044.206          173.81124    
   4.1537982          14249.454          173.80423    
   4.1600992          14457.701          173.79719    
   4.1664003          14668.992          173.79011    
   4.1727013          14883.371          173.78300    
   4.1790023          15100.883          173.77587    
   4.1853034          15321.573          173.76870    
   4.1916044          15545.489          173.76150    
   4.1979054          15772.677          173.75427    
   4.2042065          16003.186          173.74701    
   4.2105075          16237.063          173.73972    
   4.2168085          16474.358          173.73239    
   4.2231095          16715.122          173.72503    
   4.2294106          16959.403          173.71764    
   4.2357116          17207.255          173.71022    
   4.2420126          17458.729          173.70277    
   4.2483137          17713.878          173.69529    
   4.2546147          17972.757          173.68777    
   4.2609157          18235.418          173.68022    
   4.2672168          18501.918          173.67264    
   4.2735178          18772.313          173.66502    
   4.2798188          19046.659          173.65737    
   4.2861198          19325.015          173.64969    
   4.2924209          19607.439          173.64198    
   4.2987219          19893.990          173.63423    
   4.3050229          20184.729          173.62645    
   4.3113240          20479.717          173.61864    
   4.3176250          20779.017          173.61079    
   4.3239260          21082.690          173.60291    
   4.3302271          21390.801          173.59499    
   4.3365281          21703.415          173.58705    
   4.3428291          22020.598          173.57906    
   4.3491301          22342.416          173.57105    
