   LOG10(FN) FN  Magnitudes: Y11, Y12 ... Y21, Y22 ... [mhos]
   3.0007097          1001.6355         0.12646652E-05
   3.0070108          1016.2739         0.12831476E-05
   3.0133118          1031.1261         0.13019000E-05
   3.0196128          1046.1954         0.13209265E-05
   3.0259138          1061.4850         0.13402311E-05
   3.0322149          1076.9979         0.13598178E-05
   3.0385159          1092.7376         0.13796908E-05
   3.0448169          1108.7074         0.13998541E-05
   3.0511180          1124.9105         0.14203122E-05
   3.0574190          1141.3504         0.14410692E-05
   3.0637200          1158.0306         0.14621296E-05
   3.0700211          1174.9545         0.14834978E-05
   3.0763221          1192.1258         0.15051782E-05
   3.0826231          1209.5480         0.15271756E-05
   3.0889241          1227.2249         0.15494943E-05
   3.0952252          1245.1600         0.15721393E-05
   3.1015262          1263.3573         0.15951152E-05
   3.1078272          1281.8206         0.16184269E-05
   3.1141283          1300.5536         0.16420792E-05
   3.1204293          1319.5605         0.16660773E-05
   3.1267303          1338.8451         0.16904260E-05
   3.1330314          1358.4115         0.17151306E-05
   3.1393324          1378.2639         0.17401963E-05
   3.1456334          1398.4064         0.17656282E-05
   3.1519344          1418.8433         0.17914319E-05
   3.1582355          1439.5789         0.18176126E-05
   3.1645365          1460.6175         0.18441759E-05
   3.1708375          1481.9636         0.18711275E-05
   3.1771386          1503.6216         0.18984729E-05
   3.1834396          1525.5962         0.19262180E-05
   3.1897406          1547.8919         0.19543686E-05
   3.1960417          1570.5134         0.19829305E-05
   3.2023427          1593.4656         0.20119099E-05
   3.2086437          1616.7531         0.20413128E-05
   3.2149447          1640.3810         0.20711454E-05
   3.2212458          1664.3543         0.21014140E-05
   3.2275468          1688.6778         0.21321250E-05
   3.2338478          1713.3569         0.21632847E-05
   3.2401489          1738.3966         0.21948999E-05
   3.2464499          1763.8022         0.22269771E-05
   3.2527509          1789.5792         0.22595230E-05
   3.2590520          1815.7329         0.22925447E-05
   3.2653530          1842.2687         0.23260489E-05
   3.2716540          1869.1924         0.23600427E-05
   3.2779550          1896.5096         0.23945334E-05
   3.2842561          1924.2260         0.24295281E-05
   3.2905571          1952.3474         0.24650342E-05
   3.2968581          1980.8798         0.25010593E-05
   3.3031592          2009.8292         0.25376108E-05
   3.3094602          2039.2017         0.25746965E-05
   3.3157612          2069.0035         0.26123242E-05
   3.3220623          2099.2408         0.26505018E-05
   3.3283633          2129.9200         0.26892373E-05
   3.3346643          2161.0475         0.27285390E-05
   3.3409653          2192.6299         0.27684150E-05
   3.3472664          2224.6740         0.28088738E-05
   3.3535674          2257.1863         0.28499238E-05
   3.3598684          2290.1737         0.28915738E-05
   3.3661695          2323.6433         0.29338325E-05
   3.3724705          2357.6020         0.29767087E-05
   3.3787715          2392.0570         0.30202116E-05
   3.3850726          2427.0155         0.30643502E-05
   3.3913736          2462.4849         0.31091339E-05
   3.3976746          2498.4727         0.31545721E-05
   3.4039756          2534.9864         0.32006744E-05
   3.4102767          2572.0338         0.32474504E-05
   3.4165777          2609.6226         0.32949100E-05
   3.4228787          2647.7607         0.33430632E-05
   3.4291798          2686.4562         0.33919201E-05
