   LOG10(FN) FN  Calc. Arg.: Z11, Z12 ... Z21, Z22 ... [deg]
   2.8620871          727.92572          84.676403    
   2.8683881          738.56393          84.674926    
   2.8746891          749.35761          84.673419    
   2.8809902          760.30904          84.671879    
   2.8872912          771.42051          84.670309    
   2.8935922          782.69437          84.668708    
   2.8998932          794.13300          84.667076    
   2.9061943          805.73879          84.665413    
   2.9124953          817.51419          84.663720    
   2.9187963          829.46169          84.661996    
   2.9250974          841.58379          84.660241    
   2.9313984          853.88305          84.658457    
   2.9376994          866.36205          84.656642    
   2.9440005          879.02343          84.654797    
   2.9503015          891.86985          84.652923    
   2.9566025          904.90401          84.651018    
   2.9629035          918.12866          84.649084    
   2.9692046          931.54657          84.647120    
   2.9755056          945.16058          84.645126    
   2.9818066          958.97356          84.643104    
   2.9881077          972.98840          84.641051    
   2.9944087          987.20806          84.638970    
   3.0007097          1001.6355          84.636859    
   3.0070108          1016.2739          84.634720    
   3.0133118          1031.1261          84.632551    
   3.0196128          1046.1954          84.630354    
   3.0259138          1061.4850          84.628128    
   3.0322149          1076.9979          84.625873    
   3.0385159          1092.7376          84.623590    
   3.0448169          1108.7074          84.621278    
   3.0511180          1124.9105          84.618938    
   3.0574190          1141.3504          84.616569    
   3.0637200          1158.0306          84.614173    
   3.0700211          1174.9545          84.611748    
   3.0763221          1192.1258          84.609295    
   3.0826231          1209.5480          84.606814    
   3.0889241          1227.2249          84.604305    
   3.0952252          1245.1600          84.601769    
   3.1015262          1263.3573          84.599204    
   3.1078272          1281.8206          84.596612    
   3.1141283          1300.5536          84.593993    
   3.1204293          1319.5605          84.591346    
   3.1267303          1338.8451          84.588671    
   3.1330314          1358.4115          84.585969    
   3.1393324          1378.2639          84.583240    
   3.1456334          1398.4064          84.580484    
   3.1519344          1418.8433          84.577700    
   3.1582355          1439.5789          84.574890    
   3.1645365          1460.6175          84.572052    
   3.1708375          1481.9636          84.569188    
   3.1771386          1503.6216          84.566296    
   3.1834396          1525.5962          84.563378    
   3.1897406          1547.8919          84.560433    
   3.1960417          1570.5134          84.557461    
   3.2023427          1593.4656          84.554462    
   3.2086437          1616.7531          84.551437    
   3.2149447          1640.3810          84.548385    
   3.2212458          1664.3543          84.545307    
   3.2275468          1688.6778          84.542203    
   3.2338478          1713.3569          84.539071    
   3.2401489          1738.3966          84.535914    
   3.2464499          1763.8022          84.532730    
   3.2527509          1789.5792          84.529520    
   3.2590520          1815.7329          84.526284    
   3.2653530          1842.2687          84.523022    
   3.2716540          1869.1924          84.519733    
   3.2779550          1896.5096          84.516418    
   3.2842561          1924.2260          84.513078    
   3.2905571          1952.3474          84.509711    
   3.2968581          1980.8798          84.506318    
   3.3031592          2009.8292          84.502900    
   3.3094602          2039.2017          84.499455    
   3.3157612          2069.0035          84.495985    
   3.3220623          2099.2408          84.492489    
   3.3283633          2129.9200          84.488967    
   3.3346643          2161.0475          84.485419    
   3.3409653          2192.6299          84.481845    
   3.3472664          2224.6740          84.478246    
   3.3535674          2257.1863          84.474621    
   3.3598684          2290.1737          84.470971    
   3.3661695          2323.6433          84.467295    
   3.3724705          2357.6020          84.463593    
   3.3787715          2392.0570          84.459866    
   3.3850726          2427.0155          84.456113    
   3.3913736          2462.4849          84.452335    
   3.3976746          2498.4727          84.448531    
   3.4039756          2534.9864          84.444702    
   3.4102767          2572.0338          84.440847    
   3.4165777          2609.6226          84.436967    
   3.4228787          2647.7607          84.433061    
   3.4291798          2686.4562          84.429130    
   3.4354808          2725.7172          84.425174    
   3.4417818          2765.5520          84.421192    
   3.4480829          2805.9689          84.417185    
   3.4543839          2846.9765          84.413153    
   3.4606849          2888.5834          84.409095    
   3.4669859          2930.7984          84.405012    
   3.4732870          2973.6303          84.400904    
   3.4795880          3017.0882          84.396771    
   3.4858890          3061.1812          84.392612    
