   LOG10(FN) FN  Calc. Mag.: Z11, Z12 ... Z21, Z22 ... [ohms]
   3.0889241          1227.2249         0.13954483E-01
   3.0952252          1245.1600         0.14146364E-01
   3.1015262          1263.3573         0.14340877E-01
   3.1078272          1281.8206         0.14538057E-01
   3.1141283          1300.5536         0.14737942E-01
   3.1204293          1319.5605         0.14940568E-01
   3.1267303          1338.8451         0.15145972E-01
   3.1330314          1358.4115         0.15354193E-01
   3.1393324          1378.2639         0.15565269E-01
   3.1456334          1398.4064         0.15779238E-01
   3.1519344          1418.8433         0.15996142E-01
   3.1582355          1439.5789         0.16216018E-01
   3.1645365          1460.6175         0.16438909E-01
   3.1708375          1481.9636         0.16664855E-01
   3.1771386          1503.6216         0.16893898E-01
   3.1834396          1525.5962         0.17126080E-01
   3.1897406          1547.8919         0.17361444E-01
   3.1960417          1570.5134         0.17600034E-01
   3.2023427          1593.4656         0.17841893E-01
   3.2086437          1616.7531         0.18087066E-01
   3.2149447          1640.3810         0.18335599E-01
   3.2212458          1664.3543         0.18587537E-01
   3.2275468          1688.6778         0.18842926E-01
   3.2338478          1713.3569         0.19101814E-01
   3.2401489          1738.3966         0.19364249E-01
   3.2464499          1763.8022         0.19630278E-01
   3.2527509          1789.5792         0.19899951E-01
   3.2590520          1815.7329         0.20173318E-01
   3.2653530          1842.2687         0.20450428E-01
   3.2716540          1869.1924         0.20731334E-01
   3.2779550          1896.5096         0.21016086E-01
   3.2842561          1924.2260         0.21304737E-01
   3.2905571          1952.3474         0.21597341E-01
   3.2968581          1980.8798         0.21893950E-01
   3.3031592          2009.8292         0.22194621E-01
   3.3094602          2039.2017         0.22499407E-01
   3.3157612          2069.0035         0.22808366E-01
   3.3220623          2099.2408         0.23121553E-01
   3.3283633          2129.9200         0.23439027E-01
   3.3346643          2161.0475         0.23760846E-01
   3.3409653          2192.6299         0.24087070E-01
   3.3472664          2224.6740         0.24417757E-01
   3.3535674          2257.1863         0.24752970E-01
   3.3598684          2290.1737         0.25092769E-01
   3.3661695          2323.6433         0.25437218E-01
   3.3724705          2357.6020         0.25786378E-01
   3.3787715          2392.0570         0.26140316E-01
   3.3850726          2427.0155         0.26499094E-01
   3.3913736          2462.4849         0.26862781E-01
   3.3976746          2498.4727         0.27231441E-01
   3.4039756          2534.9864         0.27605144E-01
   3.4102767          2572.0338         0.27983957E-01
   3.4165777          2609.6226         0.28367951E-01
   3.4228787          2647.7607         0.28757195E-01
   3.4291798          2686.4562         0.29151762E-01
   3.4354808          2725.7172         0.29551722E-01
   3.4417818          2765.5520         0.29957151E-01
   3.4480829          2805.9689         0.30368122E-01
   3.4543839          2846.9765         0.30784711E-01
   3.4606849          2888.5834         0.31206994E-01
   3.4669859          2930.7984         0.31635048E-01
   3.4732870          2973.6303         0.32068953E-01
   3.4795880          3017.0882         0.32508787E-01
   3.4858890          3061.1812         0.32954631E-01
   3.4921901          3105.9185         0.33406567E-01
   3.4984911          3151.3097         0.33864678E-01
   3.5047921          3197.3643         0.34329047E-01
   3.5110932          3244.0919         0.34799760E-01
   3.5173942          3291.5024         0.35276903E-01
   3.5236952          3339.6058         0.35760563E-01
   3.5299962          3388.4122         0.36250829E-01
   3.5362973          3437.9319         0.36747791E-01
